id;product_reference;description;picture_path;ean13;reservation_cost;brand;sub_category;invoice;current_state
333;Sinar F-2;;;670102;;;Chambres photographiques;;
334;Sinar F-3;;;670103;;;Chambres photographiques;;
335;Sinar F-4;;;670104;;;Chambres photographiques;;
336;Sinar F-5;;;670105;;;Chambres photographiques;;
337;Sinar F-6;;;670106;;;Chambres photographiques;;
338;Sinar F-7;;;670107;;;Chambres photographiques;;
339;Sinar F-8;;;670108;;;Chambres photographiques;;
340;Sinar F-9;;;670109;;;Chambres photographiques;;
341;Sinar F-10;;;670110;;;Chambres photographiques;;
342;Sinar P-1;;;670201;;;Chambres photographiques;;
343;Sinar P-2;;;670202;;;Chambres photographiques;;
344;Cambo1;;;670301;;;Chambres photographiques;;
345;Cambo2;;;670302;;;Chambres photographiques;;
346;Cambo3;;;670303;;;Chambres photographiques;;
347;Cambo4;;;670304;;;Chambres photographiques;;
348;Cambo5;;;670305;;;Chambres photographiques;;
349;Cambo6;;;670306;;;Chambres photographiques;;
350;Cambo7;;;670307;;;Chambres photographiques;;
351;Cambo8;;;670308;;;Chambres photographiques;;
352;Cambo9;;;670309;;;Chambres photographiques;;
353;Cambo10;;;670310;;;Chambres photographiques;;
354;Cambo11;;;670311;;;Chambres photographiques;;
355;boite a lumiere Bowens;;;690101;;;Accessoires eclairage;;
356;MTZ bol compact  27cm-1;;;690201;;;Accessoires eclairage;;
357;MTZ bol compact  27cm-2;;;690202;;;Accessoires eclairage;;
358;MTZ bol compact  27cm-3;;;690203;;;Accessoires eclairage;;
359;MTZ bol compact  27cm-4;;;690204;;;Accessoires eclairage;;
360;MTZ bol compact  27cm-5;;;690205;;;Accessoires eclairage;;
361;MTZ bol compact  27cm-6;;;690206;;;Accessoires eclairage;;
362;MTZ bol compact  27cm-7;;;690207;;;Accessoires eclairage;;
363;MTZ bol compact  27cm-8;;;690208;;;Accessoires eclairage;;
364;MTZ bol compact  27cm-9;;;690209;;;Accessoires eclairage;;
365;MTZ bol compact  27cm-10;;;690210;;;Accessoires eclairage;;
366;MTZ bol compact  27cm-11;;;690211;;;Accessoires eclairage;;
367;MTZ bol compact  27cm-12;;;690212;;;Accessoires eclairage;;
368;MTZ bol compact  27cm-13;;;690213;;;Accessoires eclairage;;
369;MTZ bol compact  27cm-14;;;690214;;;Accessoires eclairage;;
370;MTZ bol compact  27cm-15;;;690215;;;Accessoires eclairage;;
371;MTZ bol compact  27cm-16;;;690216;;;Accessoires eclairage;;
372;MTZ bol compact  27cm-17;;;690217;;;Accessoires eclairage;;
373;MTZ bol compact  27cm-18;;;690218;;;Accessoires eclairage;;
374;MTZ bol compact  27cm-19;;;690219;;;Accessoires eclairage;;
375;MTZ bol compact  27cm-20;;;690220;;;Accessoires eclairage;;
376;MTZ bol compact  27cm-21;;;690221;;;Accessoires eclairage;;
377;MTZ bol compact  27cm-22;;;690222;;;Accessoires eclairage;;
378;MTZ bol compact  27cm-23;;;690223;;;Accessoires eclairage;;
379;MTZ bol compact  27cm-24;;;690224;;;Accessoires eclairage;;
380;MTZ bol compact  27cm-25;;;690225;;;Accessoires eclairage;;
381;MTZ bol compact  27cm-26;;;690226;;;Accessoires eclairage;;
382;MTZ bol compact  27cm-27;;;690227;;;Accessoires eclairage;;
383;MTZ bol compact  27cm-28;;;690228;;;Accessoires eclairage;;
384;MTZ bol compact  27cm-29;;;690229;;;Accessoires eclairage;;
385;MTZ bol compact  27cm-30;;;690230;;;Accessoires eclairage;;
386;MTZ bol compact  16cm-1;;;690301;;;Accessoires eclairage;;
387;MTZ bol compact  16cm-2;;;690302;;;Accessoires eclairage;;
388;MTZ bol compact  16cm-3;;;690303;;;Accessoires eclairage;;
389;MTZ bol compact  16cm-4;;;690304;;;Accessoires eclairage;;
390;MTZ  radio complet-1;;;690401;;;Accessoires eclairage;;
391;MTZ  radio complet-2;;;690402;;;Accessoires eclairage;;
392;MTZ  radio complet-3;;;690403;;;Accessoires eclairage;;
393;MTZ  radio complet-4;;;690404;;;Accessoires eclairage;;
394;MTZ   radio emetteur-1;;;690501;;;Accessoires eclairage;;
395;MTZ   radio emetteur-2;;;690502;;;Accessoires eclairage;;
396;MTZ   radio emetteur-3;;;690503;;;Accessoires eclairage;;
397;MTZ   radio emetteur-4;;;690504;;;Accessoires eclairage;;
398;MTZ   radio emetteur-5;;;690505;;;Accessoires eclairage;;
399;MTZ   radio emetteur-6;;;690506;;;Accessoires eclairage;;
400;MTZ   radio emetteur-7;;;690507;;;Accessoires eclairage;;
401;MTZ   radio emetteur-8;;;690508;;;Accessoires eclairage;;
402;MTZ   radio emetteur-9;;;690509;;;Accessoires eclairage;;
403;MTZ   radio emetteur-10;;;690510;;;Accessoires eclairage;;
404;MTZ   radio emetteur-11;;;690511;;;Accessoires eclairage;;
405;MTZ   radio emetteur-12;;;690512;;;Accessoires eclairage;;
406;MTZ   radio emetteur-13;;;690513;;;Accessoires eclairage;;
407;MTZ   radio emetteur-14;;;690514;;;Accessoires eclairage;;
408;MTZ   radio emetteur-15;;;690515;;;Accessoires eclairage;;
409;MTZ   radio emetteur-16;;;690516;;;Accessoires eclairage;;
410;MTZ   radio emetteur-17;;;690517;;;Accessoires eclairage;;
411;MTZ   radio emetteur-18;;;690518;;;Accessoires eclairage;;
412;MTZ   radio emetteur-19;;;690519;;;Accessoires eclairage;;
413;MTZ   radio emetteur-20;;;690520;;;Accessoires eclairage;;
414;MTZ telecommande radio-1;;;690601;;;Accessoires eclairage;;
415;MTZ telecommande radio-2;;;690602;;;Accessoires eclairage;;
416;MTZ telecommande radio-3;;;690603;;;Accessoires eclairage;;
417;MTZ telecommande radio-4;;;690604;;;Accessoires eclairage;;
418;MTZ telecommande radio-5;;;690605;;;Accessoires eclairage;;
419;MTZ synchro fil-1;;;690701;;;Accessoires eclairage;;
420;MTZ synchro fil-2;;;690702;;;Accessoires eclairage;;
421;MTZ synchro fil-3;;;690703;;;Accessoires eclairage;;
422;MTZ synchro fil-4;;;690704;;;Accessoires eclairage;;
423;MTZ synchro fil-5;;;690705;;;Accessoires eclairage;;
424;MTZ synchro fil-6;;;690706;;;Accessoires eclairage;;
425;MTZ synchro fil-7;;;690707;;;Accessoires eclairage;;
426;MTZ synchro fil-8;;;690708;;;Accessoires eclairage;;
427;MTZ synchro fil-9;;;690709;;;Accessoires eclairage;;
428;MTZ synchro fil-10;;;690710;;;Accessoires eclairage;;
429;MTZ synchro fil-11;;;690711;;;Accessoires eclairage;;
430;MTZ synchro fil-12;;;690712;;;Accessoires eclairage;;
431;MTZ synchro fil-13;;;690713;;;Accessoires eclairage;;
432;MTZ synchro fil-14;;;690714;;;Accessoires eclairage;;
433;MTZ synchro fil-15;;;690715;;;Accessoires eclairage;;
434;MTZ synchro fil-16;;;690716;;;Accessoires eclairage;;
435;MTZ synchro fil-17;;;690717;;;Accessoires eclairage;;
436;MTZ synchro fil-18;;;690718;;;Accessoires eclairage;;
437;MTZ synchro fil-19;;;690719;;;Accessoires eclairage;;
438;MTZ synchro fil-20;;;690720;;;Accessoires eclairage;;
439;MTZ synchro fil-21;;;690721;;;Accessoires eclairage;;
440;MTZ synchro fil-22;;;690722;;;Accessoires eclairage;;
441;MTZ synchro fil-23;;;690723;;;Accessoires eclairage;;
442;MTZ synchro fil-24;;;690724;;;Accessoires eclairage;;
443;MTZ synchro fil-25;;;690725;;;Accessoires eclairage;;
444;MTZ synchro fil-26;;;690726;;;Accessoires eclairage;;
445;MTZ synchro fil-27;;;690727;;;Accessoires eclairage;;
446;MTZ synchro fil-28;;;690728;;;Accessoires eclairage;;
447;MTZ synchro fil-29;;;690729;;;Accessoires eclairage;;
448;MTZ synchro fil-30;;;690730;;;Accessoires eclairage;;
449;MTZ synchro fil-31;;;690731;;;Accessoires eclairage;;
450;MTZ synchro fil-32;;;690732;;;Accessoires eclairage;;
451;MTZ synchro fil-33;;;690733;;;Accessoires eclairage;;
